話数,サブタイトル,シリーズ,脚本,放送日、
１,誕生,恐竜戦隊ジュウレンジャー,杉村升,1992年2月21日
２,復活,恐竜戦隊ジュウレンジャー,杉村升,1992年2月28日
３,戦え絶望の大地,恐竜戦隊ジュウレンジャー,杉村升,1992年3月6日
４,甦れ伝説の武器,恐竜戦隊ジュウレンジャー,杉村升,1992年3月13日

